client_id,holding_name,asset_class,current_value_pct,change_ytd,last_rebalance,alert
C001,Large Cap US Equity,Equity,45,8.2,2024-12-01,
C001,Fixed Income,Fixed Income,30,-1.1,2024-12-01,
C001,International Equity,Equity,15,3.4,2024-12-01,Slight overweight vs policy
C001,Alternatives,Alternatives,10,2.0,2024-12-01,
C002,Large Cap US Equity,Equity,35,7.8,2024-11-15,
C002,Fixed Income,Fixed Income,50,-0.9,2024-11-15,
C002,Cash/MM,Cash,15,0.2,2024-11-15,Elevated cash; discuss deployment
C003,Large Cap US Equity,Equity,50,9.1,2025-01-10,
C003,Fixed Income,Fixed Income,25,-1.2,2025-01-10,
C003,International Equity,Equity,25,4.1,2025-01-10,
